# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.14.0
#@/tick	726
#@/user_id	14dcda44-4cf5-46d6-81f2-e31514a0ac9f
a 	啊	c=9 d=6.46675 t=726
le 	了	c=16 d=9.82898 t=726
lei 	类	c=0 d=0.0951229 t=726
lei yin he e mo cheng 	类银河恶魔城	c=1 d=0.955997 t=726
lin shi 	临时	c=3 d=2.85855 t=726
ling 	灵	c=0 d=0.0995012 t=726
ling hun 	灵魂	c=0 d=0.0995012 t=726
ling si yu ling hun 	灵丝与灵魂	c=1 d=1 t=726
lou le 	漏了	c=1 d=0.97531 t=726
lu jing 	路径	c=2 d=1.98511 t=726
lv zhe 	旅者	c=1 d=0.99005 t=726
ma 	吗	c=2 d=1.65955 t=726
ma dan 	妈蛋	c=1 d=0.941765 t=726
ma ge ji 	妈个鸡	c=1 d=0.895834 t=726
mai 	买	c=1 d=1.00632 t=726
mai bu liao 	买不了	c=1 d=0.932394 t=726
mai chui zi 	买锤子	c=1 d=0.99005 t=726
man ji 	满级	c=1 d=0.99005 t=726
man le 	慢了	c=0 d=0.0856415 t=726
mao si 	茅斯	c=0 d=0.260769 t=726
mei 	没	c=2 d=1.43036 t=726
mei fa xian 	没发现	c=1 d=0.985112 t=726
mei fan ying 	没反应	c=1 d=0.831104 t=726
mei jian guo 	没见过	c=1 d=0.913931 t=726
mei kan dao 	没看到	c=1 d=0.802519 t=726
mei wen ti 	没问题	c=1 d=0.873716 t=726
mei xiang dao 	没想到	c=1 d=0.904837 t=726
mei xing dao 	没行到	c=1 d=0.985112 t=726
mei xuan zhong 	没选中	c=1 d=0.904837 t=726
mei yi ge 	每一个	c=1 d=0.99005 t=726
mei you 	没有	c=5 d=3.36288 t=726
mian fei 	免费	c=1 d=0.878095 t=726
miao le 	秒了	c=1 d=0.918512 t=726
ming zuo 	命座	c=1 d=0.985112 t=726
mo shi 	模式	c=1 d=0.860708 t=726
mu biao 	目标	c=1 d=0.965605 t=726
mu lu 	目录	c=7 d=5.05215 t=726
na 	拿	c=1 d=0.97531 t=726
na 	那	c=1 d=0.946485 t=726
na ken ding 	那肯定	c=1 d=0.847894 t=726
na lai 	那来	c=1 d=1 t=726
na li 	哪里	c=2 d=1.92168 t=726
na li 	那里	c=3 d=2.81241 t=726
na me 	那么	c=2 d=1.9178 t=726
nan dao 	难道	c=1 d=0.965605 t=726
nan du 	难度	c=2 d=1.50064 t=726
ne 	呢	c=6 d=4.45385 t=726
nei rong 	内容	c=7 d=4.71398 t=726
